tick,sim_time_s,msg_index,compute_ms,payload_bytes,stations,markers,gc_pauses_ms
0,0.000,0,0.133,599,0,1,0.000
1,0.050,0,0.077,599,0,1,0.000
2,0.100,0,0.051,599,0,1,0.000
3,0.150,0,0.040,599,0,1,0.000
4,0.200,0,0.034,599,0,1,0.000
5,0.250,0,0.033,599,0,1,0.000
6,0.300,0,0.028,599,0,1,0.000
7,0.350,0,0.027,599,0,1,0.000
8,0.400,0,0.025,599,0,1,0.000
9,0.450,0,0.025,599,0,1,0.000
10,0.500,0,0.024,599,0,1,0.000
11,0.550,0,0.028,599,0,1,0.000
12,0.600,0,0.031,599,0,1,0.000
13,0.650,0,0.027,599,0,1,0.000
14,0.700,0,0.025,599,0,1,0.000
15,0.750,0,0.027,599,0,1,0.000
16,0.800,0,0.028,599,0,1,0.000
17,0.850,0,0.026,599,0,1,0.000
18,0.900,0,0.025,599,0,1,0.000
19,0.950,0,0.026,599,0,1,0.000
20,1.000,0,0.025,599,0,1,0.000
21,1.050,1,0.041,625,0,1,0.000
22,1.100,1,0.044,625,0,1,0.000
23,1.150,2,0.092,651,0,1,0.000
24,1.200,2,0.069,651,0,1,0.000
25,1.250,2,0.061,651,0,1,0.000
26,1.300,2,0.062,651,0,1,0.000
27,1.350,2,0.055,651,0,1,0.000
28,1.400,2,0.059,651,0,1,0.000
29,1.450,2,0.066,651,0,1,0.000
30,1.500,2,0.054,651,0,1,0.000
31,1.550,2,0.048,651,0,1,0.000
32,1.600,2,0.048,651,0,1,0.000
33,1.650,2,0.052,651,0,1,0.000
34,1.700,2,0.048,651,0,1,0.000
35,1.750,2,0.048,651,0,1,0.000
36,1.800,2,0.050,651,0,1,0.000
37,1.850,2,0.055,651,0,1,0.000
38,1.900,2,0.051,651,0,1,0.000
39,1.950,2,0.055,651,0,1,0.000
40,2.000,2,0.050,651,0,1,0.000
41,2.050,2,0.048,651,0,1,0.000
42,2.100,2,0.046,651,0,1,0.000
43,2.150,2,0.051,651,0,1,0.000
44,2.200,2,0.071,651,0,1,0.000
45,2.250,2,0.052,651,0,1,0.000
46,2.300,2,0.047,651,0,1,0.000
47,2.350,2,0.047,651,0,1,0.000
48,2.400,3,0.058,677,0,1,0.000
49,2.450,3,0.061,677,0,1,0.000
50,2.500,3,0.060,677,0,1,0.000
51,2.550,3,0.055,677,0,1,0.000
52,2.600,3,0.055,677,0,1,0.000
53,2.650,3,0.054,677,0,1,0.000
54,2.700,3,0.057,677,0,1,0.000
55,2.750,3,0.054,677,0,1,0.000
56,2.800,3,0.055,677,0,1,0.000
57,2.850,3,0.058,677,0,1,0.000
58,2.900,3,0.107,677,0,1,0.000
59,2.950,3,0.079,677,0,1,0.000
60,3.000,3,0.065,677,0,1,0.000
61,3.050,3,0.059,677,0,1,0.000
62,3.100,3,0.069,677,0,1,0.000
63,3.150,3,0.092,677,0,1,0.000
64,3.200,3,0.076,677,0,1,0.000
65,3.250,3,0.131,677,0,1,0.000
66,3.300,3,0.169,677,0,1,0.000
67,3.350,4,0.095,703,0,1,0.000
68,3.400,4,0.466,703,0,1,0.000
69,3.450,4,0.095,703,0,1,0.000
70,3.500,4,0.079,703,0,1,0.000
71,3.550,4,0.071,703,0,1,0.000
72,3.600,4,0.106,703,0,1,0.000
73,3.650,4,0.152,703,0,1,0.000
74,3.700,4,0.078,703,0,1,0.000
75,3.750,4,0.078,703,0,1,0.000
76,3.800,4,0.091,703,0,1,0.000
77,3.850,4,0.201,703,0,1,0.000
78,3.900,4,0.213,703,0,1,0.000
79,3.950,4,0.455,703,0,1,0.000
80,4.000,4,0.151,703,0,1,0.000
81,4.050,4,0.090,703,0,1,0.000
82,4.100,4,0.068,703,0,1,0.000
83,4.150,4,0.066,703,0,1,0.000
84,4.200,4,0.067,703,0,1,0.000
85,4.250,4,0.079,703,0,1,0.000
86,4.300,4,0.066,703,0,1,0.000
87,4.350,5,0.119,729,0,1,0.000
88,4.400,5,0.089,729,0,1,0.000
89,4.450,5,0.128,729,0,1,0.000
90,4.500,5,0.169,729,0,1,0.000
91,4.550,5,0.164,729,0,1,0.000
92,4.600,5,0.215,729,0,1,0.000
93,4.650,5,0.171,729,0,1,0.000
94,4.700,5,0.119,729,0,1,0.000
95,4.750,5,0.088,729,0,1,0.000
96,4.800,5,0.204,729,0,1,0.000
97,4.850,5,0.107,729,0,1,0.000
98,4.900,5,0.086,729,0,1,0.000
99,4.950,5,0.075,729,0,1,0.000
100,5.000,5,0.074,729,0,1,0.000
101,5.050,5,0.078,729,0,1,0.000
102,5.100,5,0.068,729,0,1,0.000
