tick,sim_time_s,msg_index,compute_ms,payload_bytes,stations,markers,gc_pauses_ms
0,0.000,0,0.557,5942,0,0,0.000
1,0.050,1,0.395,5942,0,0,0.000
2,0.100,1,0.384,5942,0,0,0.000
3,0.150,1,0.360,5942,0,0,0.000
4,0.200,1,0.355,5942,0,0,0.000
5,0.250,1,0.364,5942,0,0,0.000
6,0.300,2,0.801,6339,0,1,0.000
7,0.350,2,0.643,6339,0,1,0.000
8,0.400,2,0.626,6339,0,1,0.000
9,0.450,2,0.592,6339,0,1,0.000
10,0.500,2,0.602,6339,0,1,0.000
11,0.550,2,0.913,6339,0,1,0.000
12,0.600,2,0.608,6339,0,1,0.000
13,0.650,2,0.568,6339,0,1,0.000
14,0.700,2,0.559,6339,0,1,0.000
15,0.750,3,0.859,9002,0,1,0.000
16,0.800,3,0.800,9002,0,1,0.000
17,0.850,3,0.918,9002,0,1,0.000
18,0.900,3,0.895,9002,0,1,0.000
19,0.950,3,0.942,9002,0,1,0.000
20,1.000,3,0.825,9002,0,1,0.000
21,1.050,4,0.725,6339,0,1,0.000
22,1.100,4,0.677,6339,0,1,0.000
23,1.150,5,0.757,6365,0,1,0.000
24,1.200,5,0.694,6365,0,1,0.000
25,1.250,5,0.771,6365,0,1,0.000
26,1.300,6,0.840,6365,0,1,0.000
27,1.350,6,1.515,6365,0,1,0.000
28,1.400,6,0.967,6365,0,1,0.000
29,1.450,6,0.831,6365,0,1,0.000
30,1.500,6,0.845,6365,0,1,0.000
31,1.550,6,0.836,6365,0,1,0.000
32,1.600,6,0.820,6365,0,1,0.000
33,1.650,6,0.885,6365,0,1,0.000
34,1.700,6,0.940,6365,0,1,0.000
35,1.750,7,1.140,9028,0,1,0.000
36,1.800,7,1.136,9028,0,1,0.000
37,1.850,7,1.147,9028,0,1,0.000
38,1.900,7,1.108,9028,0,1,0.000
39,1.950,7,1.409,9028,0,1,0.000
40,2.000,7,1.322,9028,0,1,0.000
41,2.050,8,1.100,6365,0,1,0.000
42,2.100,8,0.930,6365,0,1,0.000
43,2.150,8,0.956,6365,0,1,0.000
44,2.200,8,0.947,6365,0,1,0.000
45,2.250,9,0.959,6391,0,1,0.000
46,2.300,10,1.616,6391,0,1,0.000
47,2.350,10,1.441,6391,0,1,0.000
48,2.400,10,1.226,6391,0,1,0.000
49,2.450,10,1.239,6391,0,1,0.000
