tick,sim_time_s,msg_index,compute_ms,payload_bytes,stations,markers,gc_pauses_ms
0,0.000,0,1.197,5942,0,0,0.000
1,0.050,1,0.140,5942,0,0,0.000
2,0.100,1,0.119,5942,0,0,0.000
3,0.150,1,0.113,5942,0,0,0.000
4,0.200,1,0.114,5942,0,0,0.000
5,0.250,1,0.127,5942,0,0,0.000
6,0.300,2,0.290,6339,0,1,0.000
7,0.350,2,0.250,6339,0,1,0.000
8,0.400,2,0.237,6339,0,1,0.000
9,0.450,2,0.195,6339,0,1,0.000
10,0.500,2,0.198,6339,0,1,0.000
11,0.550,2,0.198,6339,0,1,0.000
12,0.600,2,0.210,6339,0,1,0.000
13,0.650,2,0.200,6339,0,1,0.000
14,0.700,2,0.228,6339,0,1,0.000
15,0.750,3,0.343,9002,0,1,0.000
16,0.800,3,0.284,9002,0,1,0.000
17,0.850,3,0.272,9002,0,1,0.000
18,0.900,3,0.266,9002,0,1,0.000
19,0.950,3,0.266,9002,0,1,0.000
20,1.000,3,0.253,9002,0,1,0.000
21,1.050,4,0.226,6339,0,1,0.000
22,1.100,4,0.212,6339,0,1,0.000
23,1.150,5,0.214,6365,0,1,0.000
24,1.200,5,0.253,6365,0,1,0.000
25,1.250,5,0.233,6365,0,1,0.000
26,1.300,6,0.277,6365,0,1,0.000
27,1.350,6,0.311,6365,0,1,0.000
28,1.400,6,0.273,6365,0,1,0.000
29,1.450,6,0.264,6365,0,1,0.000
30,1.500,6,0.259,6365,0,1,0.000
31,1.550,6,0.288,6365,0,1,0.000
32,1.600,6,0.287,6365,0,1,0.000
33,1.650,6,0.259,6365,0,1,0.000
34,1.700,6,0.257,6365,0,1,0.000
35,1.750,7,0.335,9028,0,1,0.000
36,1.800,7,0.332,9028,0,1,0.000
37,1.850,7,0.355,9028,0,1,0.000
38,1.900,7,0.349,9028,0,1,0.000
39,1.950,7,0.330,9028,0,1,0.000
40,2.000,7,0.376,9028,0,1,0.000
41,2.050,8,0.333,6365,0,1,0.000
42,2.100,8,0.308,6365,0,1,0.000
43,2.150,8,0.305,6365,0,1,0.000
44,2.200,8,0.303,6365,0,1,0.000
45,2.250,9,0.309,6391,0,1,0.000
46,2.300,10,0.348,6391,0,1,0.000
47,2.350,10,0.350,6391,0,1,0.000
48,2.400,10,0.369,6391,0,1,0.000
49,2.450,10,0.388,6391,0,1,0.000
50,2.500,10,0.370,6391,0,1,0.000
