tick,sim_time_s,msg_index,compute_ms,payload_bytes,stations,markers,gc_pauses_ms
0,0.000,0,0.448,226,0,0,0.000
1,0.050,0,0.353,226,0,0,0.000
2,0.100,0,0.344,226,0,0,0.000
3,0.150,0,0.504,226,0,0,0.000
4,0.200,1,0.669,226,0,0,0.000
5,0.250,2,1.640,10580,0,0,0.000
6,0.300,2,1.927,10580,0,0,0.000
7,0.350,3,1.775,10580,0,0,0.000
8,0.400,3,1.688,10580,0,0,0.000
9,0.450,4,2.012,10580,0,0,0.000
10,0.500,5,2.496,10580,0,0,0.000
11,0.550,5,2.604,10580,0,0,0.000
12,0.600,6,3.204,10580,0,0,0.000
13,0.650,6,2.784,10580,0,0,0.000
14,0.700,6,2.667,10580,0,0,0.000
15,0.750,7,2.917,10580,0,0,0.000
16,0.800,7,2.874,10580,0,0,0.000
17,0.850,7,3.477,10580,0,0,0.000
18,0.900,8,3.746,18957,0,0,0.000
19,0.950,9,4.108,18957,0,0,0.000
20,1.000,9,5.656,18957,0,0,0.000
21,1.050,10,5.164,18957,0,0,0.000
22,1.100,10,5.832,18957,0,0,0.000
23,1.150,10,6.009,18957,0,0,0.000
24,1.200,11,5.046,18957,0,0,0.000
25,1.250,12,5.964,18957,0,0,0.000
26,1.300,12,5.361,18957,0,0,0.000
27,1.350,13,5.523,18957,0,0,0.000
28,1.400,13,5.927,18957,0,0,0.000
29,1.450,13,5.693,18957,0,0,0.000
30,1.500,15,6.453,18957,0,0,0.000
31,1.550,15,6.103,18957,0,0,0.000
32,1.600,15,6.812,18957,0,0,0.000
33,1.650,15,5.649,18957,0,0,0.000
34,1.700,16,6.964,18957,0,0,0.000
35,1.750,16,5.807,18957,0,0,0.000
36,1.800,16,5.582,18957,0,0,0.000
37,1.850,17,5.885,18957,0,0,0.000
38,1.900,18,7.564,18957,0,0,0.000
39,1.950,18,7.138,18957,0,0,0.000
40,2.000,19,6.725,18957,0,0,0.000
41,2.050,19,6.517,18957,0,0,0.000
42,2.100,19,6.916,18957,0,0,0.000
43,2.150,20,7.162,18957,0,0,0.000
44,2.200,20,8.801,18957,0,0,0.000
45,2.250,22,9.564,18957,0,0,0.000
46,2.300,22,7.483,18957,0,0,0.000
47,2.350,22,8.729,18957,0,0,0.000
48,2.400,23,11.360,18957,0,0,0.000
49,2.450,23,8.935,18957,0,0,0.000
50,2.500,24,8.309,18957,0,0,0.000
51,2.550,25,9.935,18957,0,0,0.000
52,2.600,25,10.926,18957,0,0,0.000
53,2.650,25,9.450,18957,0,0,0.000
54,2.700,25,10.084,18957,0,0,0.000
55,2.750,26,12.454,18957,0,0,0.000
56,2.800,26,11.023,18957,0,0,0.000
57,2.850,26,10.059,18957,0,0,0.000
58,2.900,28,9.273,18957,0,0,0.000
59,2.950,28,9.273,18957,0,0,0.000
60,3.000,28,8.956,18957,0,0,0.000
61,3.050,29,9.407,18957,0,0,0.000
62,3.100,29,9.368,18957,0,0,0.000
63,3.150,29,11.136,18957,0,0,0.000
64,3.200,30,10.007,18957,0,0,0.000
65,3.250,31,9.258,18957,0,0,0.000
66,3.300,31,10.822,18957,0,0,0.000
67,3.350,32,10.584,18957,0,0,0.000
68,3.400,32,9.394,18957,0,0,0.000
69,3.450,33,10.237,18957,0,0,0.000
70,3.500,34,11.028,18957,0,0,0.000
71,3.550,34,9.525,18957,0,0,0.000
72,3.600,34,10.819,18957,0,0,0.000
73,3.650,35,11.441,18957,0,0,0.000
74,3.700,35,9.533,18957,0,0,0.000
75,3.750,35,11.309,18957,0,0,0.000
76,3.800,36,11.500,18957,0,0,0.000
77,3.850,36,10.158,18957,0,0,0.000
78,3.900,37,10.422,18957,0,0,0.000
79,3.950,38,11.816,18957,0,0,0.000
80,4.000,38,10.735,18957,0,0,0.000
81,4.050,38,11.480,18957,0,0,0.000
82,4.100,39,10.166,18957,0,0,0.000
83,4.150,39,12.034,18957,0,0,0.000
84,4.200,39,11.536,18957,0,0,0.000
85,4.250,41,9.739,18957,0,0,0.000
86,4.300,41,12.452,18957,0,0,0.000
87,4.350,41,10.764,18957,0,0,0.000
88,4.400,42,10.645,18957,0,0,0.000
89,4.450,42,13.480,18957,0,0,0.000
90,4.500,43,11.211,18957,0,0,0.000
91,4.550,44,12.495,18957,0,0,0.000
92,4.600,44,14.172,18957,0,0,0.000
93,4.650,44,12.354,18957,0,0,0.000
94,4.700,45,11.512,18957,0,0,0.000
95,4.750,45,12.894,18957,0,0,0.000
96,4.800,45,14.130,18957,0,0,0.000
97,4.850,46,12.879,18957,0,0,0.000
