tick,sim_time_s,msg_index,compute_ms,payload_bytes,stations,markers,gc_pauses_ms
0,0.000,0,2.858,226,0,0,0.000
1,0.050,0,0.158,226,0,0,0.000
2,0.100,0,0.135,226,0,0,0.000
3,0.150,0,0.139,226,0,0,0.000
4,0.200,1,0.228,226,0,0,0.000
5,0.250,2,0.660,10580,0,0,0.000
6,0.300,2,0.602,10580,0,0,0.000
7,0.350,3,0.693,10580,0,0,0.000
8,0.400,3,0.665,10580,0,0,0.000
9,0.450,4,0.752,10580,0,0,0.000
10,0.500,5,0.833,10580,0,0,0.000
11,0.550,5,0.844,10580,0,0,0.000
12,0.600,6,0.925,10580,0,0,0.000
13,0.650,6,0.919,10580,0,0,0.000
14,0.700,6,0.910,10580,0,0,0.000
15,0.750,7,1.054,10580,0,0,0.000
16,0.800,7,1.014,10580,0,0,0.000
17,0.850,7,1.021,10580,0,0,0.000
18,0.900,8,1.322,18957,0,0,0.000
19,0.950,9,1.456,18957,0,0,0.000
20,1.000,9,1.413,18957,0,0,0.000
21,1.050,10,1.521,18957,0,0,0.000
22,1.100,10,1.524,18957,0,0,0.000
23,1.150,10,1.519,18957,0,0,0.000
24,1.200,11,1.602,18957,0,0,0.000
25,1.250,12,1.650,18957,0,0,0.000
26,1.300,12,1.653,18957,0,0,0.000
27,1.350,13,1.726,18957,0,0,0.000
28,1.400,13,1.775,18957,0,0,0.000
29,1.450,13,1.704,18957,0,0,0.000
30,1.500,15,1.922,18957,0,0,0.000
31,1.550,15,1.893,18957,0,0,0.000
32,1.600,15,1.964,18957,0,0,0.000
33,1.650,15,1.895,18957,0,0,0.000
34,1.700,16,2.010,18957,0,0,0.000
35,1.750,16,2.009,18957,0,0,0.000
36,1.800,16,1.982,18957,0,0,0.000
37,1.850,17,2.087,18957,0,0,0.000
38,1.900,18,2.238,18957,0,0,0.000
39,1.950,18,2.305,18957,0,0,0.000
40,2.000,19,2.287,18957,0,0,0.000
41,2.050,19,2.248,18957,0,0,0.000
42,2.100,19,2.216,18957,0,0,0.000
43,2.150,20,2.297,18957,0,0,0.000
44,2.200,20,2.391,18957,0,0,0.000
45,2.250,22,2.462,18957,0,0,0.000
46,2.300,22,2.413,18957,0,0,0.000
47,2.350,22,2.465,18957,0,0,0.000
48,2.400,23,2.567,18957,0,0,0.000
49,2.450,23,2.531,18957,0,0,0.000
50,2.500,24,2.668,18957,0,0,0.000
51,2.550,25,2.750,18957,0,0,0.000
52,2.600,25,2.710,18957,0,0,0.000
53,2.650,25,2.691,18957,0,0,0.000
54,2.700,25,2.817,18957,0,0,0.000
55,2.750,26,3.093,18957,0,0,0.000
56,2.800,26,3.132,18957,0,0,0.000
57,2.850,26,3.099,18957,0,0,0.000
58,2.900,28,3.271,18957,0,0,0.000
59,2.950,28,3.256,18957,0,0,0.000
60,3.000,28,3.280,18957,0,0,0.000
61,3.050,29,3.486,18957,0,0,0.000
62,3.100,29,3.442,18957,0,0,0.000
63,3.150,29,3.446,18957,0,0,0.000
64,3.200,30,3.508,18957,0,0,0.000
65,3.250,31,3.547,18957,0,0,0.000
66,3.300,31,3.543,18957,0,0,0.000
67,3.350,32,3.776,18957,0,0,0.000
68,3.400,32,3.634,18957,0,0,0.000
69,3.450,33,3.786,18957,0,0,0.000
70,3.500,34,3.854,18957,0,0,0.000
71,3.550,34,3.841,18957,0,0,0.000
72,3.600,34,3.720,18957,0,0,0.000
73,3.650,35,3.676,18957,0,0,0.000
74,3.700,35,3.854,18957,0,0,0.000
