timestamp,issue_type,severity,intersection_id,request_id,sequence_number,station_id,in_lane,out_lane,status,delay_seconds,message,source_summary,source_roles,source_files,merge_group_id,merge_confidence
2026-04-21T07:01:33.759977+00:00,TIMEOUT,error,71,186,108,42:ee:24:18:bd:3d,2,4,timeout,1.127,SREM ohne rechtzeitige SSEM-Antwort (1.13s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:35.184450+00:00,TIMEOUT,error,71,186,109,42:ee:24:18:bd:3d,2,4,timeout,1.415,SREM ohne rechtzeitige SSEM-Antwort (1.41s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:35.900938+00:00,TIMEOUT,error,70,187,111,42:ee:24:d3:9c:b7,2,4,timeout,1.279,SREM ohne rechtzeitige SSEM-Antwort (1.28s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:36.290279+00:00,TIMEOUT,error,71,123,86,42:ee:24:16:86:54,4,1,timeout,1.101,SREM ohne rechtzeitige SSEM-Antwort (1.10s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:38.549110+00:00,TIMEOUT,error,71,123,87,42:ee:24:18:bd:3d,4,1,timeout,1.645,SREM ohne rechtzeitige SSEM-Antwort (1.64s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:41.567126+00:00,TIMEOUT,error,71,123,89,42:ee:24:18:bd:3d,4,1,timeout,1.575,SREM ohne rechtzeitige SSEM-Antwort (1.58s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:43.978112+00:00,TIMEOUT,error,71,123,90,42:ee:24:d3:9c:b7,4,1,timeout,1.069,SREM ohne rechtzeitige SSEM-Antwort (1.07s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:47.489542+00:00,TIMEOUT,error,71,123,92,42:ee:24:16:86:54,4,1,timeout,1.622,SREM ohne rechtzeitige SSEM-Antwort (1.62s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:49.228869+00:00,TIMEOUT,error,71,123,93,42:ee:24:16:86:54,4,1,timeout,1.736,SREM ohne rechtzeitige SSEM-Antwort (1.74s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:51.196083+00:00,TIMEOUT,error,71,123,94,42:ee:24:16:86:54,4,1,timeout,1.764,SREM ohne rechtzeitige SSEM-Antwort (1.76s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:51.196083+00:00,TIMEOUT,error,71,123,95,42:ee:24:16:86:54,4,1,timeout,1.414,SREM ohne rechtzeitige SSEM-Antwort (1.41s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:52.628005+00:00,TIMEOUT,error,71,123,96,42:ee:24:d3:9c:b7,4,1,timeout,1.432,SREM ohne rechtzeitige SSEM-Antwort (1.43s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:01:54.282641+00:00,TIMEOUT,error,71,123,99,42:ee:24:d3:9c:b7,4,1,timeout,1.122,SREM ohne rechtzeitige SSEM-Antwort (1.12s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:02:12.153350+00:00,LATE_GRANTED,warning,70,187,111,42:ee:24:d3:9c:b7,2,4,granted,37.531,SSEM granted kam verspaetet (37.53s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:02:13.938237+00:00,TIMEOUT,error,70,187,32,42:ee:24:16:86:54,2,4,timeout,1.400,SREM ohne rechtzeitige SSEM-Antwort (1.40s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:02:17.940048+00:00,TIMEOUT,error,70,187,37,42:ee:24:16:86:54,2,4,timeout,2.391,SREM ohne rechtzeitige SSEM-Antwort (2.39s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:02:17.940048+00:00,TIMEOUT,error,70,187,41,42:ee:24:16:86:54,2,4,timeout,1.690,SREM ohne rechtzeitige SSEM-Antwort (1.69s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:06:02.990120+00:00,TIMEOUT,error,70,187,44,42:ee:24:16:86:54,2,4,timeout,225.050,SREM ohne rechtzeitige SSEM-Antwort (225.05s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:09.527019+00:00,TIMEOUT,error,68,125,37,42:ee:24:00:e8:b9,3,1,timeout,2.118,SREM ohne rechtzeitige SSEM-Antwort (2.12s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:12.541437+00:00,TIMEOUT,error,68,125,44,42:ee:24:00:e8:b9,3,1,timeout,1.045,SREM ohne rechtzeitige SSEM-Antwort (1.05s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:13.824614+00:00,TIMEOUT,error,68,125,45,42:ee:24:00:e8:b9,3,1,timeout,1.138,SREM ohne rechtzeitige SSEM-Antwort (1.14s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:15.022893+00:00,TIMEOUT,error,68,125,46,42:ee:24:00:e8:b9,3,1,timeout,1.198,SREM ohne rechtzeitige SSEM-Antwort (1.20s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:15.022893+00:00,TIMEOUT,error,68,125,47,42:ee:24:d3:9c:b7,3,1,timeout,1.107,SREM ohne rechtzeitige SSEM-Antwort (1.11s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
2026-04-21T07:07:16.357794+00:00,TIMEOUT,error,68,125,48,42:ee:24:00:e8:b9,3,1,timeout,1.335,SREM ohne rechtzeitige SSEM-Antwort (1.33s).,RXA: rxa 1.pcap,RXA,rxa 1.pcap,,
